Timestamp,Class,Confidence
2026-03-11 12:03:35,fire,0.79
2026-03-11 12:03:35,fire,0.78
2026-03-11 12:03:36,fire,0.77
2026-03-11 12:03:37,fire,0.73
2026-03-11 12:03:38,fire,0.76
2026-03-11 12:03:38,fire,0.84
2026-03-11 12:03:38,fire,0.66
2026-03-11 12:03:39,fire,0.64
2026-03-11 12:03:40,fire,0.64
2026-03-11 12:03:40,fire,0.67
2026-03-11 12:03:41,fire,0.66
2026-03-11 12:03:42,fire,0.85
2026-03-11 12:03:42,fire,0.82
2026-03-11 12:03:42,fire,0.81
2026-03-11 12:03:43,fire,0.79
2026-03-11 12:03:43,fire,0.83
2026-03-11 12:03:44,fire,0.84
2026-03-11 12:03:44,fire,0.79
2026-03-11 12:03:45,fire,0.75
2026-03-11 12:03:46,fire,0.82
2026-03-11 12:03:47,fire,0.76
2026-03-11 12:03:47,fire,0.78
2026-03-11 12:03:48,fire,0.78
2026-03-11 12:03:48,fire,0.79
2026-03-11 12:03:49,fire,0.79
2026-03-11 12:03:50,fire,0.75
2026-03-11 12:03:50,fire,0.73
2026-03-11 12:03:51,fire,0.77
2026-03-11 12:03:51,fire,0.81
2026-03-11 12:03:52,fire,0.78
2026-03-11 12:03:52,fire,0.80
2026-03-11 12:03:54,fire,0.84
2026-03-11 12:03:55,fire,0.76
2026-03-11 12:03:56,fire,0.82
2026-03-11 12:03:57,fire,0.85
2026-03-11 12:03:58,fire,0.87
2026-03-11 12:03:59,fire,0.70
2026-03-11 12:04:00,fire,0.64
2026-03-11 12:04:01,fire,0.69
2026-03-11 12:04:02,fire,0.75
2026-03-11 12:04:03,fire,0.67
2026-03-11 12:04:04,fire,0.74
2026-03-11 12:04:04,fire,0.79
2026-03-11 12:04:05,fire,0.75
2026-03-11 12:04:06,fire,0.75
2026-03-11 12:04:07,fire,0.81
2026-03-11 12:04:07,fire,0.82
2026-03-11 12:04:08,fire,0.80
2026-03-11 12:04:09,fire,0.82
2026-03-11 12:04:09,fire,0.80
2026-03-11 12:04:10,fire,0.73
2026-03-11 12:04:10,fire,0.74
2026-03-11 12:04:11,fire,0.66
2026-03-11 12:04:12,fire,0.67
2026-03-11 12:04:12,fire,0.73
2026-03-11 12:04:13,fire,0.72
